,index,text,labels
0,0,WE HAVE A BREAKING FREAKING STORY HERE    FROM THE CONSERVATIVE    UNDERGROUND    NEWS OF    TWITTER httpstcoSjzJKhFRQ,0
1,1,I AM SO EXCITE I MIGHT NOT EVEN SWEAR OR GO BACK TO CORRECT EXCITE TO EXCITED,0
2,2,CNN AP and MSNBC,0
3,3,HAVE JUST BEEN RAIDED BY THE FCC httpstcocImUtmTg,0
4,4,My one source inside one of these networks has informed me that the FCC has arrived and has seized all kinds ofâ httpstcoQlFCajkCW,0
5,5,The allegations are about violating press guidelines apparently,0
6,6,This includes according to my source inside a certain fake news network the printing of blatant lies the publâ httpstcoOorpmQhk,0
7,7,I am going to try to find independent confirmation of this Im just getting this news now and got permission frâ httpstcoqRthtSIud,0
8,8,Until then httpstcoRjRUlHpqy,0
9,9,CONTINUED  Still working on finding any documented or independent verification on this but heres what Ive fouâ httpstcooOtVs,0
10,10,Broadcasters may not intentionally distort the news The FCC states that rigging or slanting the news is a moâ httpstcoWqDWZlCB,0
11,11,The FCC may act only when it has received documented evidence such as testimony from persons who have directâ httpstcopPSsAlZl,0
12,12,Assuming the news I received is true it would appear that either there is a whistleblower or the FCC may be aâ httpstcogSwBFAxjQe,0
13,13,Also happened today this one documented Pruitt kicked the AP and CNN out of an EPA conference httpstcogFuAMMnen,0
14,14,Thanks Truth for linking this to me httpstcokkiSU    Rounding out our June meeting will be an enforceâ httpstconHipIfzgN,0
15,15,June th FUUUUUUCK    httpstcorQKPQXfd,0
16,16,I am still working to try to confirm this everyone,0
17,17,NOTE I have NO IDEA if the FCC meeting has ANYTHING TO DO WITH THIS Ajit Pai may be puffing up the meeting beâ httpstcosSmmsvd,0
18,18,I became CEO at  I dropped out of college I had only interned somewhere prev Looking back I couldnt imaâ httpstcoxXoEpEFtcS,0
19,19,Giving up control is hard amp it was the hardest for me I felt like everything at the beginning was important Yoâ httpstcoaOrbQZam,0
20,20,Your VCs wont want to offend you so Ill suggest it get a CEO coach amp do a  review of yourself every few yeâ httpstcoJYBRNanB,0
21,21,Find a great mentor Pick someone you want to impress Find someone who will lift you up when youre down amp takeâ httpstcoThrMDVIwCW,0
22,22,Over time you will feel like all youâre doing is spending time in meetings but not getting any real work doneâ httpstcoqnPhjEhim,0
23,23,Live by the mantra âyou should be building a team that can fulfill the mission without youâ You will be less sâ httpstcoogUutaA,0
24,24,Dont avoid confrontation with tough critical decisionsdeal with it headon Avoiding confrontation builds râ httpstcocPrNXbZ,0
25,25,Power  responsibility Being CEO will become lonely as you cant be as vulnerable amp authentic as youd like Fiâ httpstcoalaaHRVQq,0
26,26,You will royally screw it up with people in your company even if it wasnt your decision They may even dislikeâ httpstcoXrZXTEpo,0
27,27,Your job will become  listening  talking I was bad at this amp had to work x as hard at not interruptingâ httpstcolmMjlas,0
28,28,Your intuition about customersthe market will get worse as the organization grows amp you become further estrangâ httpstcoKqYyZb,0
29,29,Discovering the truth becomes hard as you grow It also becomes the most important thing you can do as you guidâ httpstcoOkNqvjRWVt,0
30,30,Control your mood meetingtomeeting Sometimes you will have a baddevastating meeting but try to remember thaâ httpstcoRXJeqdQLI,0
31,31,Weâre all human amp have our insecurities so consider a therapist to assist in helping with your personal psycholâ httpstcoBcDghCEC,0
32,32,Finally keep working hard to improve You canât fix mistakes of the past but you can be better in the futureâ httpstcoWKLsBhkL,0
33,33,If you havent read it already check out this thread of mine on fundraising too httpstcovUQQCkL,0
34,34,âPMs are mini CEOsâ This is admittedly a catchy tagline CEOs have direct management responsibilities decisionâ httpstcoisilQfdom,0
35,35,Product Management isnât a major one can study few folks graduate into and most people learn by apprenticeshipâ httpstcoMBaiWczd,0
36,36,In reality PMs have none of these Itâs a pernicious trap because the PMs who act as if they are mini CEO forâ httpstcolIPrdRur,0
37,37,âPMs are the decision makersâ Many people who convert from another role into product see it as way to get to âmâ httpstcoibQWPuhB,0
38,38,That does not however mean they should make even a small fraction of decisions themselves They should be theâ httpstcoWUvosCVa,0
39,39,PMs are responsible for the pace and quality of decision making Full stop,0
40,40,They should lay out wellresearched tradeoffs timebox deliberation and structure great discussions,0
41,41,Only in rare situations should they actually âmake the callâ When they do it withdraws from their organizationâ httpstcoImzXCVZB,0
42,42,This has a twofold downside their team execution suffers without sufficient PM attention and it stifles theâ httpstcoTvHANNWnO,0
43,43,âPMs are the idea generatorsâ More than any other product dev role PMs are judged nearly exclusively on the ouâ httpstcoFpzmLPaKsm,0
44,44,The degenerate case is PMs who think their ultimate work product is new ideas They churn out x more conceptsâ httpstcodveYmUyw,0
45,45,This requires developing deep domain knowledge communicating compelling and setting an inspirational strategy,0
46,46,PMs do need to immerse themselves in context and research to prime coming up with great product ideas In an idâ httpstcoHtbYUyb,0
47,47,âPMs have to be great at company politicsâ Unfortunately at the largest companies this one is a bit true Butâ httpstcomzLGofUNe,0
48,48,Great PMs are an antidote to startup politics emerging They keep disparate groups bought into a shared visionâ httpstcoldHcZBf,0
49,49,PMs do need to have a deep curiosity about the underlying tech humility about the details ability to developâ httpstcoOhHvMfPJ,0
50,50,In summary just a few dangerous PM myths to avoid mini CEO chief decision maker primary idea generator polâ httpstcotwJtol,0
51,51,âPMs need technical degreesâ I believe this started with Googleâs hiring of CS students directly into productâ httpstconqokhWeHw,0
52,52,While a technical foundation is certainly useful for PMs like every hiring heuristic applied unconditionally aâ httpstcoaHAtDwF,0
53,53,Thread on Podesta amp GITMO   Yesterday rumors began circulating that J Podesta may have been arrested So wantedâ httpstcokPbsBAmsCW,0
54,54,On March  Q puts Podesta and Huma back on the radar while also asking âwhat is sealedâ What is sealed oâ httpstcoyCHkdAiYI,0
55,55,I believe Q has been pointing us towards GITMO lately via  phrasesSignatures  Enjoy the Show  Dead cat Bounâ httpstcoepBbJjtUu,0
56,56,Back on Nov  Q told us that signatures reference upcoming events that are abt to unfold    Qanonâ httpstcohBupVmFtr,0
57,57,Q just used âEnjoy the Showâ on Mar  in one of the last posts Also on  which also included âDead Cat Bâ httpstcoQuCstID,0
58,58,Q also uses âEnjoy the Showâ when including Sessions and the IG report So this tells us the phrase has to doâ httpstcoKZjVTJnVX,0
59,59,Q uses movies amp pop culture in his posts Especially as it relates to signatures Red October Alice amp Wonderlaâ httpstcoINuVAsp,0
60,60,So happens that The Daily Show ran a bit on Guantanamo Bay a few yrs ago Mocking it of course Could âEnjoy Tâ httpstcofuTtUP,0
61,61,Letâs look at Dead Cat Bounce Its been used twice Both times included w the âEnjoy the Showâ sig telling usâ httpstcohbwbAcTJN,0
62,62,Digging around I found a Washington Examiner article with the phrase Dead Cat Bounce What topic was includedâ httpstcoqtfSfGD,0
